Objects (id: bounding-box centroid area):
  0: 923x712+0+0 +462.6,+358.1 625611
  3: 65x70+540+103 +571.1,+136.5 3434
  4: 63x71+203+158 +235.4,+191.1 3233
  9: 61x68+233+409 +264.1,+441.6 3215
  8: 64x65+690+378 +720.5,+409.9 3202
  5: 61x69+589+248 +618.7,+281.4 3161
  7: 63x66+138+272 +169.6,+303.3 3110
  11: 65x62+510+454 +541.9,+484.9 3023
  2: 58x68+363+103 +392.0,+134.2 2895
  10: 57x66+365+435 +393.3,+466.2 2858
  6: 55x63+453+256 +480.3,+285.5 2550
  1: 30x30+33+26 +47.8,+40.4 884
